#,customer_id,created_at_date,order_number,amount
1,vpnqlkmaoasmi,2021-03-26 13:24:44.234000,GV45919,1990
2,14cslklvjwtrs,2021-03-27 13:00:19.942000,GV46095,1900
3,wsw4lkl6ugfaf,2021-03-27 13:05:37.651000,GV46096,500
4,vojwml7lkmriv6bv,2021-03-27 13:30:09.374000,GV46100,1200
5,ihg6lkldqbjjz,2021-03-30 04:04:13.469000,GV46513,2800
6,3l0yflklgvm28o,2021-03-10 02:41:52.203000,GV42259,360
7,1xh60cki7pkj2ptcnv,2021-03-13 09:51:38.595000,GV43031,1860
8,1boednkmm28yrf,2021-03-30 04:42:02.979000,GV46520,300
9,14cslkm2titkn,2021-03-10 02:44:51.052000,GV42260,1990
10,1xh60ck9lzkjfd59m1,2021-03-13 09:52:34.880000,GV43032,1600
11,1xh60ck9lzkjsy54v5,2021-03-10 03:01:11.878000,GV42261,660
12,1xh60ck9lzkjsxyo7d,2021-03-13 09:54:16.734000,GV43033,1860
13,vpnqlkmbs6ava,2021-03-16 09:05:22.606000,GV43696,1800
14,2m2ocnkmf35gpl,2021-03-18 16:35:29.254000,GV44237,660
15,1xh60ckj9ckmhzsioj,2021-03-20 18:08:38.522000,GV44667,300
16,2m2ocnkmk2zuoz,2021-03-22 04:38:50.534000,GV44934,2800
17,1xh60ckj9ckmkvv01k,2021-03-22 17:49:49.802000,GV45102,1860
18,2m2ocnkmkv78dk,2021-03-22 17:54:25.516000,GV45103,1800
19,2m2ocnkmkuxacm,2021-03-22 17:54:35.926000,GV45104,1990
20,15ee6qlkl0uck76,2021-03-10 03:03:45.581000,GV42262,1800
21,vpnqlkm7k1e77,2021-03-13 10:07:57.916000,GV43034,1860
22,15ee6qlkkw5o3iq,2021-03-10 03:13:56.007000,GV42263,3300
23,1xh60ck1xmkm2veddl,2021-03-10 03:17:00.772000,GV42264,1960
24,vpnqlkm7jx0hl,2021-03-13 10:09:55.418000,GV43035,600
25,1xh60cki7pkj2pvhf0,2021-03-13 10:10:00.579000,GV43036,1960
26,wsw4lkl2jtzyk,2021-03-30 05:07:00.185000,GV46525,1
27,14cslkm1o064s,2021-05-19 10:49:42.177000,GV57149,1800
28,h7nclkovbpxyf,2021-05-19 10:38:28.249000,GV57148,1800
29,1xh60ckg8pkovck4h7,2021-05-19 10:54:09.609000,GV57150,2210
30,1xh60cki7pkj2pi9da,2021-03-30 05:11:03.799000,GV46526,1700
31,h7nclkovbx2l7,2021-05-19 10:56:38.226000,GV57151,2210
32,h7nclkovb9ynv,2021-05-19 11:11:41.077000,GV57153,600
33,h7nclkoub7l1x,2021-05-19 11:22:22.583000,GV57155,4300
34,h7nclkovcy0lr,2021-05-19 11:11:14.277000,GV57152,1860
35,h7nclkov2b8kq,2021-05-19 11:23:41.486000,GV57156,500
36,vojwml7lkmsqhgiq,2021-05-19 11:30:20.288000,GV57158,3300
37,h7nclkovd2cw1,2021-05-19 11:31:26.113000,GV57159,1800
38,h7nclkovcstqm,2021-05-19 11:36:00.250000,GV57160,2210
39,lbs7dymkok7gbq2,2021-05-19 11:28:05.097000,GV57157,2210
40,lhg2glkld99ind,2021-05-19 11:46:27.148000,GV57163,2210
41,h7nclkov2b8kq,2021-05-19 11:45:02.241000,GV57162,560
42,h7nclkovdugcu,2021-05-19 11:42:24.503000,GV57161,2150
43,vojwml7lkmszd606,2021-05-19 11:54:53.563000,GV57165,1860
44,h7nclkomh0c1w,2021-05-19 11:55:46.656000,GV57166,1860
45,h7nclkopwp6ix,2021-05-19 11:50:52.047000,GV57164,1260
46,h7nclkoubkcqt,2021-05-19 12:03:17.507000,GV57167,3300
47,1xh60cki7pkj2pt0vz,2021-03-30 10:55:29.847000,GV46607,3300
48,h7nclkov0nh8k,2021-05-19 12:11:53.945000,GV57169,2150
